Elapsed,Well,Area,DaysSinceSeeding,Radius,Condition,CellLine
158,A7,568522.2,6.583333333333333,425.4012656010302,M100:F0,1205LU
164,A7,579121.2,6.833333333333333,429.34834721775775,M100:F0,1205LU
170,A7,588548.8,7.083333333333333,432.8289518292493,M100:F0,1205LU
176,A7,603623.3,7.333333333333333,438.3369296795379,M100:F0,1205LU
182,A7,618026.1,7.583333333333333,443.5355876923655,M100:F0,1205LU
188,A7,633020.1,7.833333333333333,448.88367756363317,M100:F0,1205LU
194,A7,651852.0,8.083333333333334,455.51172973774925,M100:F0,1205LU
200,A7,669227.7,8.333333333333334,461.5428398513404,M100:F0,1205LU
206,A7,684365.6,8.583333333333334,466.73368878205224,M100:F0,1205LU
212,A7,707225.7,8.833333333333334,474.4648902429469,M100:F0,1205LU
218,A7,717270.8,9.083333333333334,477.8225473028209,M100:F0,1205LU
224,A7,733224.2,9.333333333333334,483.1071430326827,M100:F0,1205LU
230,A7,747559.0,9.583333333333334,487.8067447316287,M100:F0,1205LU
236,A7,744666.6,9.833333333333334,486.86213725331976,M100:F0,1205LU
4,B7,1.0796e6,0.16666666666666666,586.2144258921137,M100:F0,1205LU
8,B7,841152.0,0.3333333333333333,517.4427479279885,M100:F0,1205LU
12,B7,607710.3,0.5,439.81836754018957,M100:F0,1205LU
16,B7,495302.3,0.6666666666666666,397.0637464432754,M100:F0,1205LU
20,B7,422813.0,0.8333333333333334,366.85904364895663,M100:F0,1205LU
24,B7,380271.4,1.0,347.9139923213074,M100:F0,1205LU
28,B7,370763.3,1.1666666666666667,343.53693225638295,M100:F0,1205LU
32,B7,347853.7,1.3333333333333333,332.7540708325151,M100:F0,1205LU
36,B7,330314.0,1.5,324.2563981557074,M100:F0,1205LU
40,B7,320050.8,1.6666666666666667,319.1791561506346,M100:F0,1205LU
44,B7,313777.1,1.8333333333333333,316.03536667290876,M100:F0,1205LU
48,B7,314806.2,2.0,316.553195674837,M100:F0,1205LU
52,B7,316663.3,2.1666666666666665,317.4855256253166,M100:F0,1205LU
56,B7,320346.4,2.3333333333333335,319.32651960553966,M100:F0,1205LU
64,B7,331445.3,2.6666666666666665,324.8112001134695,M100:F0,1205LU
68,B7,339435.2,2.8333333333333335,328.7028747649954,M100:F0,1205LU
74,B7,352730.0,3.0833333333333335,335.0782686979394,M100:F0,1205LU
80,B7,369514.5,3.3333333333333335,342.9578960138698,M100:F0,1205LU
86,B7,391888.7,3.5833333333333335,353.1884022638819,M100:F0,1205LU
92,B7,407286.6,3.8333333333333335,360.060205091014,M100:F0,1205LU
98,B7,426988.2,4.083333333333333,368.66592647520554,M100:F0,1205LU
104,B7,445917.6,4.333333333333333,376.74922760816526,M100:F0,1205LU
110,B7,468429.5,4.583333333333333,386.1421251691273,M100:F0,1205LU
116,B7,485955.3,4.833333333333333,393.29934685098306,M100:F0,1205LU
122,B7,502927.0,5.083333333333333,400.10828050510935,M100:F0,1205LU
128,B7,521376.7,5.333333333333333,407.3810968072529,M100:F0,1205LU
134,B7,527976.9,5.583333333333333,409.95154219330686,M100:F0,1205LU
140,B7,554390.1,5.833333333333333,420.08076560635374,M100:F0,1205LU
146,B7,565286.3,6.083333333333333,424.188894025122,M100:F0,1205LU
152,B7,579910.4,6.333333333333333,429.6407958059809,M100:F0,1205LU
158,B7,588590.6,6.583333333333333,432.844321777298,M100:F0,1205LU
164,B7,605068.6,6.833333333333333,438.86138722765935,M100:F0,1205LU
170,B7,617360.7,7.083333333333333,443.29675630591447,M100:F0,1205LU
176,B7,634281.4,7.333333333333333,449.33065802646433,M100:F0,1205LU
182,B7,648625.4,7.583333333333333,454.38296320385484,M100:F0,1205LU
188,B7,663491.0,7.833333333333333,459.56038198910215,M100:F0,1205LU
194,B7,683644.4,8.083333333333334,466.4876966804011,M100:F0,1205LU
200,B7,699404.5,8.333333333333334,471.8340458163559,M100:F0,1205LU
206,B7,711523.2,8.583333333333334,475.90426433173144,M100:F0,1205LU
212,B7,726961.4,8.833333333333334,481.0394999311482,M100:F0,1205LU
218,B7,734856.9,9.083333333333334,483.64472105086935,M100:F0,1205LU
224,B7,746885.8,9.333333333333334,487.5870527303709,M100:F0,1205LU
230,B7,756859.6,9.583333333333334,490.83183793750516,M100:F0,1205LU
236,B7,751941.6,9.833333333333334,489.2345502035373,M100:F0,1205LU
4,C7,1.100772e6,0.16666666666666666,591.9346332445025,M100:F0,1205LU
8,C7,854213.2,0.3333333333333333,521.4446341354867,M100:F0,1205LU
12,C7,649078.8,0.5,454.54174610514207,M100:F0,1205LU
16,C7,501617.8,0.6666666666666666,399.58716799437326,M100:F0,1205LU
20,C7,431174.3,0.8333333333333334,370.4686793217149,M100:F0,1205LU
24,C7,399813.6,1.0,356.74167335865263,M100:F0,1205LU
28,C7,367105.0,1.1666666666666667,341.8379013033816,M100:F0,1205LU
32,C7,348921.5,1.3333333333333333,333.26440396789684,M100:F0,1205LU
36,C7,332565.7,1.5,325.3597241756156,M100:F0,1205LU
40,C7,324196.6,1.6666666666666667,321.23975913197904,M100:F0,1205LU
44,C7,322882.8,1.8333333333333333,320.5881896120062,M100:F0,1205LU
48,C7,321226.9,2.0,319.7650668509178,M100:F0,1205LU
52,C7,323624.1,2.1666666666666665,320.95599454961376,M100:F0,1205LU
56,C7,323305.3,2.3333333333333335,320.79786976477305,M100:F0,1205LU
64,C7,338113.6,2.6666666666666665,328.0623439732023,M100:F0,1205LU
68,C7,346936.0,2.8333333333333335,332.3148487098637,M100:F0,1205LU
74,C7,362185.4,3.0833333333333335,339.5396787585079,M100:F0,1205LU
80,C7,378140.4,3.3333333333333335,346.93778647690294,M100:F0,1205LU
86,C7,393799.9,3.5833333333333335,354.0485861406428,M100:F0,1205LU
92,C7,418342.2,3.8333333333333335,364.9143160632049,M100:F0,1205LU
98,C7,433501.8,4.083333333333333,371.4672376111632,M100:F0,1205LU
104,C7,448885.8,4.333333333333333,378.00104220427727,M100:F0,1205LU
110,C7,471386.8,4.583333333333333,387.3591081368054,M100:F0,1205LU
116,C7,486883.8,4.833333333333333,393.67490009236235,M100:F0,1205LU
122,C7,497363.7,5.083333333333333,397.8891588607926,M100:F0,1205LU
128,C7,509945.1,5.333333333333333,402.89026637656775,M100:F0,1205LU
