OuterArea_tmp,NecroticArea_tmp,CellLine,DaysSinceSeeding,Condition,Radius,NecroticRadius
114330,0,WM983b,6,M50:F50,237.1166023,0
123024,0,WM983b,6,M75:F25,245.9669655,86.8063934
128081,15568,WM983b,6,M75:F25,250.9713902,87.49802958
129814,11443,WM983b,6,M75:F25,252.6635697,75.01563856
134561,0,WM983b,6,M75:F25,257.2417554,94.88454469
120120,0,WM983b,6,M75:F25,243.046585,0
119851,0,WM983b,6,M75:F25,242.7742899,57.12541425
134776,0,WM983b,6,M75:F25,257.4471823,95.92882158
125783,0,WM983b,6,M75:F25,248.7097643,88.82179085
176537,32926,WM983b,8,M100:F0,294.6454456,127.2481123
178293,27938,WM983b,8,M100:F0,296.1072274,117.2140084
178779,35602,WM983b,8,M100:F0,296.5105247,132.3180401
175327,38589,WM983b,8,M100:F0,293.6339466,137.7569833
175209,33599,WM983b,8,M100:F0,293.5351181,128.5419954
182221,37953,WM983b,8,M100:F0,299.3512489,136.6170542
178878,37137,WM983b,8,M100:F0,296.5926107,135.1404219
187294,38600,WM983b,8,M100:F0,303.4895865,137.7766161
113361,8235,WM983b,8,M25:F75,236.1096273,63.63758106
114134,10446,WM983b,8,M25:F75,236.9132664,71.67321277
121650,12690,WM983b,8,M25:F75,244.5895613,78.99737722
113214,11545,WM983b,8,M25:F75,235.956491,75.34923201
104557,14384,WM983b,8,M25:F75,226.7558073,84.10497745
99515,25674,WM983b,8,M25:F75,221.22089,112.3643723
117905,12840,WM983b,8,M25:F75,240.7952817,79.46289319
132115,16185,WM983b,8,M25:F75,254.8930101,89.21506852
159722,9369,WM983b,8,M50:F50,280.2620093,67.87791302
156126,0,WM983b,8,M50:F50,277.089123,99.00361774
169907,18137,WM983b,8,M50:F50,289.0596666,94.44187223
152969,10661,WM983b,8,M50:F50,274.2733274,72.40704655
149080,12741,WM983b,8,M50:F50,270.7643942,79.15595982
146387,15459,WM983b,8,M50:F50,268.3076879,87.19118098
158019,10597,WM983b,8,M50:F50,278.7638899,72.18938279
158496,8036,WM983b,8,M50:F50,279.1843146,62.86397309
168885,27796,WM983b,8,M75:F25,288.1890004,116.9157481
149651,26764,WM983b,8,M75:F25,271.2824339,114.7248166
161779,29941,WM983b,8,M75:F25,282.0609308,121.3430794
163306,26403,WM983b,8,M75:F25,283.3889631,113.9484703
163883,27940,WM983b,8,M75:F25,283.8891629,117.2182039
155886,25204,WM983b,8,M75:F25,276.8760676,111.3311248
161794,14117,WM983b,8,M75:F25,282.0740068,83.3207305
171527,20212,WM983b,8,M75:F25,290.4344355,99.6980138
